indicador,data,valor
credito_personas,01/11/2024,2.79
credito_personas,01/12/2024,2.89
credito_personas,01/01/2025,2.91
credito_personas,01/02/2025,2.9
credito_personas,01/03/2025,3.09
credito_personas,01/04/2025,3.94
credito_personas,01/05/2025,3.75
credito_personas,01/06/2025,3.79
credito_personas,01/07/2025,3.75
credito_personas,01/08/2025,3.79
credito_personas,01/09/2025,3.91
credito_personas,01/10/2025,3.94
credito_personas,01/11/2025,3.84
credito_personas,01/12/2025,3.79
credito_personas,01/01/2026,3.85
credito_personas,01/02/2026,3.96
credito_personas,01/03/2026,3.82
credito_personas,01/04/2026,3.79
ibcbr,01/01/2003,67.2184
ibcbr,01/02/2003,68.97535
ibcbr,01/03/2003,72.29213
ibcbr,01/04/2003,71.43515
ibcbr,01/05/2003,70.1141
ibcbr,01/06/2003,68.91523
ibcbr,01/07/2003,72.04168
ibcbr,01/08/2003,70.93728
ibcbr,01/09/2003,71.91563
ibcbr,01/10/2003,73.44233
ibcbr,01/11/2003,71.27284
ibcbr,01/12/2003,69.72234
ibcbr,01/01/2004,68.91897
ibcbr,01/02/2004,69.5242
ibcbr,01/03/2004,78.28149
ibcbr,01/04/2004,75.0529
ibcbr,01/05/2004,74.12148
ibcbr,01/06/2004,74.80093
ibcbr,01/07/2004,77.92854
ibcbr,01/08/2004,77.35465
ibcbr,01/09/2004,76.3472
ibcbr,01/10/2004,76.12213
ibcbr,01/11/2004,76.60865
ibcbr,01/12/2004,75.19329
ibcbr,01/01/2005,72.37047
ibcbr,01/02/2005,72.70598
ibcbr,01/03/2005,80.68877
ibcbr,01/04/2005,78.54155
ibcbr,01/05/2005,77.49933
ibcbr,01/06/2005,77.9434
ibcbr,01/07/2005,79.10163
ibcbr,01/08/2005,80.4991
ibcbr,01/09/2005,77.56388
ibcbr,01/10/2005,77.82693
ibcbr,01/11/2005,78.10904
ibcbr,01/12/2005,77.77229
ibcbr,01/01/2006,75.88664
ibcbr,01/02/2006,75.35799
ibcbr,01/03/2006,83.25463
ibcbr,01/04/2006,78.7236
ibcbr,01/05/2006,81.924
ibcbr,01/06/2006,79.97367
ibcbr,01/07/2006,83.47258
ibcbr,01/08/2006,84.63161
ibcbr,01/09/2006,81.24214
ibcbr,01/10/2006,83.41944
ibcbr,01/11/2006,82.95932
ibcbr,01/12/2006,81.30467
ibcbr,01/01/2007,80.24319
ibcbr,01/02/2007,79.22355
ibcbr,01/03/2007,87.45866
ibcbr,01/04/2007,84.09345
ibcbr,01/05/2007,86.6152
ibcbr,01/06/2007,85.54866
ibcbr,01/07/2007,89.37689
ibcbr,01/08/2007,90.2159
ibcbr,01/09/2007,86.15191
ibcbr,01/10/2007,90.29815
ibcbr,01/11/2007,87.99803
ibcbr,01/12/2007,85.58635
ibcbr,01/01/2008,85.18548
ibcbr,01/02/2008,85.22103
ibcbr,01/03/2008,90.17302
ibcbr,01/04/2008,90.51454
ibcbr,01/05/2008,90.12562
ibcbr,01/06/2008,91.28901
ibcbr,01/07/2008,95.44629
ibcbr,01/08/2008,93.58495
ibcbr,01/09/2008,92.69702
ibcbr,01/10/2008,92.83368
ibcbr,01/11/2008,87.0924
ibcbr,01/12/2008,83.11962
ibcbr,01/01/2009,80.53122
ibcbr,01/02/2009,80.57159
ibcbr,01/03/2009,89.34817
ibcbr,01/04/2009,86.05032
ibcbr,01/05/2009,86.96903
ibcbr,01/06/2009,87.81066
ibcbr,01/07/2009,91.88245
ibcbr,01/08/2009,91.36878
ibcbr,01/09/2009,90.74527
ibcbr,01/10/2009,92.61548
ibcbr,01/11/2009,90.61457
ibcbr,01/12/2009,90.34028
ibcbr,01/01/2010,87.94934
ibcbr,01/02/2010,89.2068
ibcbr,01/03/2010,100.27383
ibcbr,01/04/2010,95.67957
ibcbr,01/05/2010,95.43544
ibcbr,01/06/2010,95.13566
ibcbr,01/07/2010,99.01527
ibcbr,01/08/2010,98.95012
ibcbr,01/09/2010,97.49196
ibcbr,01/10/2010,97.39954
ibcbr,01/11/2010,97.64564
ibcbr,01/12/2010,95.55395
ibcbr,01/01/2011,92.74065
ibcbr,01/02/2011,95.19997
ibcbr,01/03/2011,101.3192
ibcbr,01/04/2011,97.78948
ibcbr,01/05/2011,100.12892
ibcbr,01/06/2011,99.09212
ibcbr,01/07/2011,101.50119
ibcbr,01/08/2011,103.11781
ibcbr,01/09/2011,99.48095
ibcbr,01/10/2011,99.28007
ibcbr,01/11/2011,99.17623
ibcbr,01/12/2011,97.33323
ibcbr,01/01/2012,93.21258
ibcbr,01/02/2012,94.61885
ibcbr,01/03/2012,102.30778
ibcbr,01/04/2012,97.7648
ibcbr,01/05/2012,101.05704
ibcbr,01/06/2012,99.4616
ibcbr,01/07/2012,103.08446
ibcbr,01/08/2012,104.79624
ibcbr,01/09/2012,98.98619
ibcbr,01/10/2012,103.25778
ibcbr,01/11/2012,100.77409
ibcbr,01/12/2012,97.53188
ibcbr,01/01/2013,97.39493
ibcbr,01/02/2013,95.16925
ibcbr,01/03/2013,103.46958
ibcbr,01/04/2013,104.71573
ibcbr,01/05/2013,102.78262
ibcbr,01/06/2013,101.27719
ibcbr,01/07/2013,106.34693
ibcbr,01/08/2013,106.12456
ibcbr,01/09/2013,102.951
ibcbr,01/10/2013,106.19151
ibcbr,01/11/2013,103.3155
ibcbr,01/12/2013,101.90477
ibcbr,01/01/2014,99.76897
ibcbr,01/02/2014,100.33641
ibcbr,01/03/2014,104.1816
ibcbr,01/04/2014,103.248
ibcbr,01/05/2014,102.86346
ibcbr,01/06/2014,98.48717
ibcbr,01/07/2014,104.75483
ibcbr,01/08/2014,103.65364
ibcbr,01/09/2014,103.54746
ibcbr,01/10/2014,104.65373
ibcbr,01/11/2014,101.30962
ibcbr,01/12/2014,101.69819
ibcbr,01/01/2015,96.9607
ibcbr,01/02/2015,95.6889
ibcbr,01/03/2015,104.38635
ibcbr,01/04/2015,99.4552
ibcbr,01/05/2015,97.5254
ibcbr,01/06/2015,96.82317
ibcbr,01/07/2015,99.84314
ibcbr,01/08/2015,98.19926
ibcbr,01/09/2015,96.42512
ibcbr,01/10/2015,97.72243
ibcbr,01/11/2015,95.06369
ibcbr,01/12/2015,95.40067
ibcbr,01/01/2016,89.87062
ibcbr,01/02/2016,91.4877
ibcbr,01/03/2016,97.99401
ibcbr,01/04/2016,94.90952
ibcbr,01/05/2016,93.12232
ibcbr,01/06/2016,94.47215
ibcbr,01/07/2016,95.35551
ibcbr,01/08/2016,96.30267
ibcbr,01/09/2016,93.62165
ibcbr,01/10/2016,92.73418
ibcbr,01/11/2016,92.62471
ibcbr,01/12/2016,93.55165
ibcbr,01/01/2017,89.90447
ibcbr,01/02/2017,90.4445
ibcbr,01/03/2017,99.01453
ibcbr,01/04/2017,93.37047
ibcbr,01/05/2017,94.65152
ibcbr,01/06/2017,94.31754
ibcbr,01/07/2017,96.5409
ibcbr,01/08/2017,97.74903
ibcbr,01/09/2017,94.18057
ibcbr,01/10/2017,95.02149
ibcbr,01/11/2017,94.53653
ibcbr,01/12/2017,95.08815
ibcbr,01/01/2018,92.28695
ibcbr,01/02/2018,90.82494
ibcbr,01/03/2018,98.72679
ibcbr,01/04/2018,97.04195
ibcbr,01/05/2018,92.30996
ibcbr,01/06/2018,95.71848
ibcbr,01/07/2018,98.43506
ibcbr,01/08/2018,100.01638
ibcbr,01/09/2018,94.84516
ibcbr,01/10/2018,97.75021
ibcbr,01/11/2018,96.3427
ibcbr,01/12/2018,95.53914
ibcbr,01/01/2019,93.18627
ibcbr,01/02/2019,93.74618
ibcbr,01/03/2019,97.03471
ibcbr,01/04/2019,97.42994
ibcbr,01/05/2019,97.37583
ibcbr,01/06/2019,94.46255
ibcbr,01/07/2019,99.99017
ibcbr,01/08/2019,99.29552
ibcbr,01/09/2019,96.56005
ibcbr,01/10/2019,99.88519
ibcbr,01/11/2019,97.25728
ibcbr,01/12/2019,96.42236
ibcbr,01/01/2020,93.56733
ibcbr,01/02/2020,94.01505
